FID	IID	PPNP_BLUP
1810	1810	8.09434693538771
1811	1811	10.7662273635036
1812	1812	8.56178995532408
1813	1813	9.22956569809033
EZ5	EZ5	8.76423235409475
GS179	GS179	7.3698421301209
GS190	GS190	7.60356364008909
GS193	GS193	7.93745151147221
GS202	GS202	7.03595425873778
GS208	GS208	12.2779938394528
GS209	GS209	7.3698421301209
GS210	GS210	7.60356364008909
GS211	GS211	NA
GS212	GS212	7.83728515005728
GS217	GS217	9.27300299700471
GS218	GS218	9.70705722980277
GS228	GS228	8.83894876420665
GS230	GS230	8.50506089282353
GS232	GS232	8.7053936156534
GS233	GS233	9.27300299700471
GS234	GS234	8.27133938285534
GS235	GS235	7.60356364008909
L10	L10	8.16363385127208
L11	L11	7.42289569779079
L1	L1	8.83894876420665
L13	L13	8.16968207840384
L14	L14	7.26967576870596
L15	L15	7.3698421301209
L16	L16	7.26967576870596
L17	L17	7.28275604713217
L18	L18	7.54301539835532
L19	L19	9.27300299700471
L20	L20	9.88534955936374
L21	L21	7.60356364008909
L2	L2	10.374832972569
L22	L22	7.50297549816715
L23	L23	8.62409270343613
L24	L24	11.8439396066548
L25	L25	8.54401290305977
L26	L26	7.93745151147221
L27	L27	9.7652298587992
L28	L28	8.76423235409475
L29	L29	9.42489070719969
L3	L3	7.3698421301209
L4	L4	7.50339727867415
L5	L5	8.22369370155435
L6	L6	9.02449170531791
L7	L7	8.08355405089573
L8	L8	8.10357400098982
L9	L9	8.63883006722131
wyj30	wyj30	7.70317499910804
Y10	Y10	8.94441190494155
Y104	Y104	8.31342472985365
Y105	Y105	6.54201789365088
Y106	Y106	7.2226961968499
Y107	Y107	5.88135954054594
Y108	Y108	8.14361390117799
Y109	Y109	8.02349420061346
Y110	Y110	8.54401290305977
Y11	Y11	8.76423235409475
Y114	Y114	7.02249669590901
Y1	Y1	7.74321489929621
Y121	Y121	9.54501040776422
Y12	Y12	10.2256887109632
Y123	Y123	7.54301539835532
Y125	Y125	7.36283584750852
Y131	Y131	8.70417250381248
Y13	Y13	8.42389320249524
Y14	Y14	8.88435205465929
Y15	Y15	8.82429220437702
Y17	Y17	6.94241689553266
Y18	Y18	8.68415255371839
Y19	Y19	8.24371365164844
Y20	Y20	5.62110018932278
Y210	Y210	7.48295554807306
Y21	Y21	8.96443185503564
Y219	Y219	10.8863470640682
Y2	Y2	10.165628860681
Y220	Y220	8.74421240400066
Y22	Y22	8.22369370155435
Y229	Y229	9.74520990870511
Y23	Y23	8.56403285315386
Y24	Y24	9.08455155560018
Y243	Y243	9.10457150569426
Y244	Y244	8.60407275334204
Y245	Y245	8.30377350193071
Y246	Y246	7.88335454995484
Y247	Y247	8.34381340211888
Y248	Y248	6.74290482994562
Y249	Y249	7.99446381982125
Y250	Y250	8.34490033698643
Y251	Y251	8.68415255371839
Y25	Y25	9.08455155560018
Y252	Y252	7.32640483120652
Y253	Y253	7.08255654619128
Y254	Y254	6.90237699534448
Y255	Y255	8.84552393293668
Y256	Y256	7.7632348493903
Y257	Y257	8.02349420061346
Y3	Y3	6.88235704525039
Y4	Y4	8.96443185503564
Y42	Y42	8.02349420061346
Y5	Y5	7.7632348493903
Y6	Y6	8.64411265353022
Y7	Y7	8.36383335221297
Y8	Y8	9.02449170531791
Y86	Y86	8.02349420061346
Y87	Y87	8.42389320249524
Y88	Y88	7.54301539835532
Y90	Y90	7.82329469967257
Y91	Y91	7.82329469967257
Y9	Y9	8.42389320249524
Y92	Y92	9.28475105654107
Y94	Y94	7.56303534844941
Y95	Y95	8.96443185503564
Y96	Y96	7.30277599722626
Y97	Y97	8.96443185503564
Y99	Y99	8.08355405089573
yangzhou_199_100	yangzhou_199_100	8.16363385127208
yangzhou_199_101	yangzhou_199_101	8.74421240400066
yangzhou_199_10	yangzhou_199_10	7.34281589741443
yangzhou_199_102	yangzhou_199_102	7.52992490540433
yangzhou_199_103	yangzhou_199_103	8.16363385127208
yangzhou_199_104	yangzhou_199_104	8.00551732155707
yangzhou_199_105	yangzhou_199_105	9.10457150569426
yangzhou_199_106	yangzhou_199_106	8.42389320249524
yangzhou_199_107	yangzhou_199_107	8.42389320249524
yangzhou_199_108	yangzhou_199_108	8.68415255371839
yangzhou_199_109	yangzhou_199_109	7.42289569779079
yangzhou_199_110	yangzhou_199_110	7.08255654619128
yangzhou_199_111	yangzhou_199_111	7.2226961968499
yangzhou_199_11	yangzhou_199_11	7.28275604713217
yangzhou_199_112	yangzhou_199_112	7.7632348493903
yangzhou_199_113	yangzhou_199_113	8.48395305277751
yangzhou_199_114	yangzhou_199_114	8.70417250381248
yangzhou_199_115	yangzhou_199_115	8.30377350193071
yangzhou_199_116	yangzhou_199_116	7.6801119841894
