FID	IID	GL_BLUP
GS193	GS193	NA
GS202	GS202	NA
GS208	GS208	NA
GS209	GS209	NA
GS210	GS210	NA
GS211	GS211	NA
GS212	GS212	NA
GS217	GS217	NA
GS218	GS218	NA
GS228	GS228	NA
GS230	GS230	NA
GS232	GS232	NA
GS233	GS233	NA
GS234	GS234	NA
GS235	GS235	NA
L10	L10	9.32630685127627
L11	L11	8.61198820825454
L1	L1	10.4376539718785
L13	L13	9.46994148058618
L14	L14	9.32639676937601
L15	L15	9.88202537062726
L16	L16	9.78942060375205
L17	L17	9.42371393896105
L18	L18	9.58605908510236
L19	L19	7.65951096562225
L20	L20	8.61198820825454
L21	L21	8.58555863437434
L2	L2	9.32639676937601
L22	L22	8.77433335439584
L23	L23	8.83927141285236
L24	L24	7.75211573249746
L25	L25	7.59195245358487
L26	L26	7.56690619874705
L27	L27	8.67692626671106
L28	L28	9.48865199741757
L29	L29	9.22889976359149
L3	L3	9.69681583687684
L4	L4	9.41900153625122
L5	L5	10.3653157865806
L6	L6	9.03408558822193
L7	L7	9.22889976359149
L8	L8	9.29383782204801
L9	L9	9.85584177814495
wyj30	wyj30	6.89672332608945
Y10	Y10	6.92359868838499
Y104	Y104	7.30759090979233
Y105	Y105	8.22235985751541
Y106	Y106	7.67038636063498
Y107	Y107	6.98853674684151
Y108	Y108	8.02754568214585
Y109	Y109	7.11841286375455
Y110	Y110	7.25539101814207
Y11	Y11	7.60544830217846
Y114	Y114	6.79372257147195
Y1	Y1	6.85866062992847
Y121	Y121	7.83273150677628
Y12	Y12	6.37162519150456
Y123	Y123	7.67038636063498
Y125	Y125	6.89112965915673
Y131	Y131	8.67692626671106
Y13	Y13	6.40409422073282
Y14	Y14	7.18335092221107
Y15	Y15	6.95606771761325
Y17	Y17	6.76125354224369
Y18	Y18	7.11841286375455
Y19	Y19	7.28075800989586
Y20	Y20	8.22235985751541
Y210	Y210	7.31322703912412
Y21	Y21	7.44310315603716
Y219	Y219	7.02100577606977
Y2	Y2	7.31322703912412
Y220	Y220	7.05347480529803
Y22	Y22	6.82619160070021
Y229	Y229	6.76125354224369
Y23	Y23	7.47557218526542
Y24	Y24	7.47557218526542
Y243	Y243	7.28075800989586
Y244	Y244	7.15088189298281
Y245	Y245	7.67038636063498
Y246	Y246	6.98853674684151
Y247	Y247	8.35223597442845
Y248	Y248	7.16209163754984
Y249	Y249	7.64289368818241
Y250	Y250	7.93137491856195
Y251	Y251	8.12495276983063
Y25	Y25	8.09248374060237
Y252	Y252	8.67022868850267
Y253	Y253	6.89112965915673
Y254	Y254	7.08594383452629
Y255	Y255	8.57762392162746
Y256	Y256	6.24174907459152
Y257	Y257	7.60544830217846
Y3	Y3	7.50804121449368
Y4	Y4	7.60544830217846
Y42	Y42	6.85866062992847
Y5	Y5	7.63791733140672
Y6	Y6	6.85866062992847
Y7	Y7	7.08594383452629
Y8	Y8	7.60544830217846
Y86	Y86	6.98853674684151
Y87	Y87	7.89766956523281
Y88	Y88	7.76779344831976
Y90	Y90	6.95606771761325
Y91	Y91	7.50804121449368
Y9	Y9	6.63137742533064
Y92	Y92	7.96260762368933
Y94	Y94	6.98853674684151
Y95	Y95	7.31322703912412
Y96	Y96	7.15088189298281
Y97	Y97	6.76125354224369
Y99	Y99	6.56643936687412
yangzhou_199_100	yangzhou_199_100	6.97025529673365
yangzhou_199_101	yangzhou_199_101	6.99476595361505
yangzhou_199_10	yangzhou_199_10	6.77417004168244
yangzhou_199_102	yangzhou_199_102	6.77417004168244
yangzhou_199_103	yangzhou_199_103	7.21536186554765
yangzhou_199_104	yangzhou_199_104	6.62710610039405
yangzhou_199_105	yangzhou_199_105	7.26438317931045
yangzhou_199_106	yangzhou_199_106	7.04378726737785
yangzhou_199_107	yangzhou_199_107	6.84770201232665
yangzhou_199_108	yangzhou_199_108	7.09280858114065
yangzhou_199_109	yangzhou_199_109	6.97025529673365
yangzhou_199_110	yangzhou_199_110	6.74965938480105
yangzhou_199_111	yangzhou_199_111	6.92123398297085
yangzhou_199_11	yangzhou_199_11	7.09280858114065
yangzhou_199_112	yangzhou_199_112	6.62710610039405
yangzhou_199_113	yangzhou_199_113	6.97025529673365
yangzhou_199_114	yangzhou_199_114	7.01927661049645
yangzhou_199_115	yangzhou_199_115	7.01927661049645
yangzhou_199_116	yangzhou_199_116	6.87074937763601
yangzhou_199_117	yangzhou_199_117	6.70063807103825
yangzhou_199_118	yangzhou_199_118	6.89672332608945
yangzhou_199_119	yangzhou_199_119	7.04378726737785
yangzhou_199_1	yangzhou_199_1	6.79868069856385
yangzhou_199_120	yangzhou_199_120	7.09280858114065
yangzhou_199_121	yangzhou_199_121	6.94971459194033
yangzhou_199_12	yangzhou_199_12	6.94574463985225
yangzhou_199_122	yangzhou_199_122	6.85230750425555
yangzhou_199_123	yangzhou_199_123	6.82319135544525
yangzhou_199_124	yangzhou_199_124	7.06829792425925
