FID	IID	TGW_BLUP
yangzhou_226_182	yangzhou_226_182	27.318177436342
yangzhou_226_183	yangzhou_226_183	22.7056503054614
yangzhou_226_184	yangzhou_226_184	17.6697511190893
yangzhou_226_185	yangzhou_226_185	21.6806442763768
yangzhou_226_186	yangzhou_226_186	21.3464031799362
yangzhou_226_187	yangzhou_226_187	22.8170640042749
yangzhou_226_188	yangzhou_226_188	21.1904240015972
yangzhou_226_189	yangzhou_226_189	25.1567516793593
yangzhou_226_190	yangzhou_226_190	22.1708645511564
yangzhou_226_191	yangzhou_226_191	23.5523944164443
yangzhou_226_19	yangzhou_226_19	24.3991385274272
yangzhou_226_192	yangzhou_226_192	30.0143889476296
yangzhou_226_193	yangzhou_226_193	21.6806442763768
yangzhou_226_194	yangzhou_226_194	16.1099593356998
yangzhou_226_195	yangzhou_226_195	29.0785138775959
yangzhou_226_196	yangzhou_226_196	19.5860667386822
yangzhou_226_197	yangzhou_226_197	23.4409807176307
yangzhou_226_198	yangzhou_226_198	22.505105647597
yangzhou_226_199	yangzhou_226_199	21.1681412618345
yangzhou_226_200	yangzhou_226_200	27.9643768894605
yangzhou_226_201	yangzhou_226_201	34.7606125170865
yangzhou_226_20	yangzhou_226_20	24.8002278431559
yangzhou_226_202	yangzhou_226_202	29.1785355625144
yangzhou_226_203	yangzhou_226_203	21.2127067413599
yangzhou_226_204	yangzhou_226_204	25.1344689395966
yangzhou_226_205	yangzhou_226_205	24.9562070214949
yangzhou_226_206	yangzhou_226_206	26.7388262025116
yangzhou_226_207	yangzhou_226_207	27.4964393544436
yangzhou_226_208	yangzhou_226_208	25.4018618167491
yangzhou_226_209	yangzhou_226_209	21.6806442763768
yangzhou_226_210	yangzhou_226_210	27.6301357930199
yangzhou_226_211	yangzhou_226_211	23.3295670188172
yangzhou_226_21	yangzhou_226_21	23.2181533200037
yangzhou_226_212	yangzhou_226_212	26.7607549337272
yangzhou_226_213	yangzhou_226_213	27.6016005506431
yangzhou_226_214	yangzhou_226_214	24.103671978856
yangzhou_226_215	yangzhou_226_215	23.8866355128849
yangzhou_226_216	yangzhou_226_216	17.9817094757672
yangzhou_226_217	yangzhou_226_217	24.5105522262407
yangzhou_226_218	yangzhou_226_218	20.2991144110889
yangzhou_226_219	yangzhou_226_219	27.318177436342
yangzhou_226_2	yangzhou_226_2	25.6915374336643
yangzhou_226_220	yangzhou_226_220	27.2736119568165
yangzhou_226_221	yangzhou_226_221	26.1149094891557
yangzhou_226_22	yangzhou_226_22	25.0007725010203
yangzhou_226_222	yangzhou_226_222	22.2377127704445
yangzhou_226_223	yangzhou_226_223	28.5214453835282
yangzhou_226_224	yangzhou_226_224	26.1817577084438
yangzhou_226_225	yangzhou_226_225	24.7333796238678
yangzhou_226_226	yangzhou_226_226	25.2013171588847
yangzhou_226_23	yangzhou_226_23	25.713820173427
yangzhou_226_24	yangzhou_226_24	21.9034716740039
yangzhou_226_25	yangzhou_226_25	27.8752459304097
yangzhou_226_26	yangzhou_226_26	23.9089182526476
yangzhou_226_27	yangzhou_226_27	21.2572722208853
yangzhou_226_28	yangzhou_226_28	25.2013171588847
yangzhou_226_29	yangzhou_226_29	27.7638322315961
yangzhou_226_30	yangzhou_226_30	23.7975045538341
yangzhou_226_31	yangzhou_226_31	23.6415253754951
yangzhou_226_3	yangzhou_226_3	24.9562070214949
yangzhou_226_32	yangzhou_226_32	21.5469478378005
yangzhou_226_33	yangzhou_226_33	21.9257544137666
yangzhou_226_34	yangzhou_226_34	26.5652358080123
yangzhou_226_35	yangzhou_226_35	22.0817335921055
yangzhou_226_36	yangzhou_226_36	22.3268437294953
yangzhou_226_37	yangzhou_226_37	23.9122664817726
yangzhou_226_38	yangzhou_226_38	23.9524629867157
yangzhou_226_39	yangzhou_226_39	24.729435882439
yangzhou_226_40	yangzhou_226_40	23.2691224026842
yangzhou_226_41	yangzhou_226_41	21.9426377395644
yangzhou_226_4	yangzhou_226_4	25.7806683927151
yangzhou_226_42	yangzhou_226_42	23.0279433730261
yangzhou_226_43	yangzhou_226_43	26.0426812437529
yangzhou_226_44	yangzhou_226_44	23.5867926583592
yangzhou_226_45	yangzhou_226_45	21.9828342445074
yangzhou_226_46	yangzhou_226_46	21.1387076407039
yangzhou_226_47	yangzhou_226_47	26.1409363357141
yangzhou_226_48	yangzhou_226_48	23.0279433730261
yangzhou_226_49	yangzhou_226_49	21.8220482247354
yangzhou_226_50	yangzhou_226_50	23.9926594916587
yangzhou_226_51	yangzhou_226_51	24.9310788043355
yangzhou_226_5	yangzhou_226_5	23.0621741416647
yangzhou_226_53	yangzhou_226_53	24.5687401098044
yangzhou_226_54	yangzhou_226_54	26.7165434627488
yangzhou_226_55	yangzhou_226_55	29.3236240149857
yangzhou_226_56	yangzhou_226_56	27.0953500387149
yangzhou_226_57	yangzhou_226_57	27.9643768894605
yangzhou_226_58	yangzhou_226_58	29.9698234681042
yangzhou_226_59	yangzhou_226_59	29.7247133307144
yangzhou_226_60	yangzhou_226_60	28.3209007256638
yangzhou_226_61	yangzhou_226_61	31.128525935765
yangzhou_226_6	yangzhou_226_6	24.2208766093255
