FID	IID	SLNP_WenJ15
yangzhou_226_219	yangzhou_226_219	133.9
yangzhou_226_2	yangzhou_226_2	125.7
yangzhou_226_220	yangzhou_226_220	129.1
yangzhou_226_221	yangzhou_226_221	164.6
yangzhou_226_22	yangzhou_226_22	114.1
yangzhou_226_222	yangzhou_226_222	180.3
yangzhou_226_223	yangzhou_226_223	152.0
yangzhou_226_224	yangzhou_226_224	172.3
yangzhou_226_225	yangzhou_226_225	188.7
yangzhou_226_226	yangzhou_226_226	134.2
yangzhou_226_23	yangzhou_226_23	155.2
yangzhou_226_24	yangzhou_226_24	133.4
yangzhou_226_25	yangzhou_226_25	158.6
yangzhou_226_26	yangzhou_226_26	150.5
yangzhou_226_27	yangzhou_226_27	169.3
yangzhou_226_28	yangzhou_226_28	196.4
yangzhou_226_29	yangzhou_226_29	138.7
yangzhou_226_30	yangzhou_226_30	105.2
yangzhou_226_31	yangzhou_226_31	189.0
yangzhou_226_3	yangzhou_226_3	146.3
yangzhou_226_32	yangzhou_226_32	122.2
yangzhou_226_33	yangzhou_226_33	153.5
yangzhou_226_34	yangzhou_226_34	144.5
yangzhou_226_35	yangzhou_226_35	149.7
yangzhou_226_36	yangzhou_226_36	170.4
yangzhou_226_37	yangzhou_226_37	116.7
yangzhou_226_38	yangzhou_226_38	110.1
yangzhou_226_39	yangzhou_226_39	NA
yangzhou_226_40	yangzhou_226_40	183.4
yangzhou_226_41	yangzhou_226_41	120.3
yangzhou_226_4	yangzhou_226_4	112.9
yangzhou_226_42	yangzhou_226_42	99.5
yangzhou_226_43	yangzhou_226_43	116.8
yangzhou_226_44	yangzhou_226_44	NA
yangzhou_226_45	yangzhou_226_45	639.2
yangzhou_226_46	yangzhou_226_46	320.4
yangzhou_226_47	yangzhou_226_47	NA
yangzhou_226_48	yangzhou_226_48	133.7
yangzhou_226_49	yangzhou_226_49	144.1
yangzhou_226_50	yangzhou_226_50	136.0
yangzhou_226_51	yangzhou_226_51	NA
yangzhou_226_5	yangzhou_226_5	165.9
yangzhou_226_53	yangzhou_226_53	NA
yangzhou_226_54	yangzhou_226_54	234.0
yangzhou_226_55	yangzhou_226_55	182.3
yangzhou_226_56	yangzhou_226_56	200.5
yangzhou_226_57	yangzhou_226_57	149.8
yangzhou_226_58	yangzhou_226_58	167.8
yangzhou_226_59	yangzhou_226_59	143.9
yangzhou_226_60	yangzhou_226_60	152.4
yangzhou_226_61	yangzhou_226_61	153.6
yangzhou_226_6	yangzhou_226_6	163.9
yangzhou_226_62	yangzhou_226_62	114.9
yangzhou_226_63	yangzhou_226_63	154.2
yangzhou_226_64	yangzhou_226_64	190.6
yangzhou_226_65	yangzhou_226_65	208.4
yangzhou_226_66	yangzhou_226_66	209.0
yangzhou_226_67	yangzhou_226_67	282.4
yangzhou_226_68	yangzhou_226_68	108.6
