FID	IID	GW_BLUP
yangzhou_226_128	yangzhou_226_128	2.70527623325579
yangzhou_226_129	yangzhou_226_129	2.70527623325579
yangzhou_226_130	yangzhou_226_130	2.68116645997527
yangzhou_226_131	yangzhou_226_131	2.75349577981682
yangzhou_226_13	yangzhou_226_13	2.70527623325579
yangzhou_226_132	yangzhou_226_132	2.63294691341424
yangzhou_226_133	yangzhou_226_133	2.62193955293958
yangzhou_226_134	yangzhou_226_134	2.51239804701165
yangzhou_226_135	yangzhou_226_135	2.56061759357269
yangzhou_226_136	yangzhou_226_136	2.75349577981682
yangzhou_226_137	yangzhou_226_137	2.68116645997527
yangzhou_226_138	yangzhou_226_138	2.56061759357269
yangzhou_226_139	yangzhou_226_139	2.6468050508573
yangzhou_226_140	yangzhou_226_140	2.75349577981682
yangzhou_226_141	yangzhou_226_141	2.8740446462194
yangzhou_226_14	yangzhou_226_14	2.29541008748701
yangzhou_226_142	yangzhou_226_142	2.80171532637785
yangzhou_226_143	yangzhou_226_143	2.63294691341424
yangzhou_226_144	yangzhou_226_144	2.60883714013372
yangzhou_226_145	yangzhou_226_145	2.7293860065363
yangzhou_226_146	yangzhou_226_146	2.63294691341424
yangzhou_226_147	yangzhou_226_147	2.65705668669475
yangzhou_226_148	yangzhou_226_148	2.70527623325579
yangzhou_226_149	yangzhou_226_149	2.65705668669475
yangzhou_226_150	yangzhou_226_150	2.97048373934147
yangzhou_226_151	yangzhou_226_151	2.42442014010003
yangzhou_226_15	yangzhou_226_15	2.44006872717011
yangzhou_226_152	yangzhou_226_152	2.51972795899601
yangzhou_226_153	yangzhou_226_153	2.51972795899601
yangzhou_226_154	yangzhou_226_154	2.64680505085731
yangzhou_226_155	yangzhou_226_155	2.55149723196133
yangzhou_226_156	yangzhou_226_156	2.7738821427186
yangzhou_226_157	yangzhou_226_157	2.55149723196133
yangzhou_226_158	yangzhou_226_158	3.09157487237185
yangzhou_226_159	yangzhou_226_159	2.71034359678795
yangzhou_226_160	yangzhou_226_160	2.67857432382263
yangzhou_226_161	yangzhou_226_161	2.60883714013372
