FID	IID	PW_WenJ15
yangzhou_199_7	yangzhou_199_7	3.65
yangzhou_199_72	yangzhou_199_72	3.04
yangzhou_199_73	yangzhou_199_73	3.51
yangzhou_199_74	yangzhou_199_74	1.92
yangzhou_199_75	yangzhou_199_75	2.88
yangzhou_199_76	yangzhou_199_76	2.06
yangzhou_199_77	yangzhou_199_77	2.82
yangzhou_199_78	yangzhou_199_78	3.2
yangzhou_199_79	yangzhou_199_79	3.31
yangzhou_199_80	yangzhou_199_80	3.58
yangzhou_199_81	yangzhou_199_81	2.89
yangzhou_199_8	yangzhou_199_8	2.46
yangzhou_199_82	yangzhou_199_82	4.01
yangzhou_199_83	yangzhou_199_83	2.41
yangzhou_199_84	yangzhou_199_84	2.47
yangzhou_199_85	yangzhou_199_85	3.74
yangzhou_199_86	yangzhou_199_86	3.13
yangzhou_199_87	yangzhou_199_87	3.32
yangzhou_199_88	yangzhou_199_88	2.33
yangzhou_199_89	yangzhou_199_89	1.79
yangzhou_199_90	yangzhou_199_90	2.41
yangzhou_199_91	yangzhou_199_91	1.99
yangzhou_199_9	yangzhou_199_9	4.13
yangzhou_199_92	yangzhou_199_92	2.68
yangzhou_199_93	yangzhou_199_93	3.27
yangzhou_199_94	yangzhou_199_94	2.86
yangzhou_199_95	yangzhou_199_95	2.04
yangzhou_199_96	yangzhou_199_96	2.67
yangzhou_199_97	yangzhou_199_97	3.16
yangzhou_199_98	yangzhou_199_98	3.17
yangzhou_199_99	yangzhou_199_99	3.18
yangzhou_226_100	yangzhou_226_100	2.98
yangzhou_226_101	yangzhou_226_101	2.57
yangzhou_226_10	yangzhou_226_10	3.22
yangzhou_226_102	yangzhou_226_102	2.88
yangzhou_226_103	yangzhou_226_103	4.29
yangzhou_226_104	yangzhou_226_104	2.38
yangzhou_226_105	yangzhou_226_105	3.85
yangzhou_226_106	yangzhou_226_106	4.02
yangzhou_226_107	yangzhou_226_107	0.82
yangzhou_226_108	yangzhou_226_108	4.56
yangzhou_226_109	yangzhou_226_109	3.52
yangzhou_226_110	yangzhou_226_110	5.02
yangzhou_226_111	yangzhou_226_111	5.86
yangzhou_226_11	yangzhou_226_11	3.07
yangzhou_226_112	yangzhou_226_112	3.02
yangzhou_226_113	yangzhou_226_113	4.17
yangzhou_226_114	yangzhou_226_114	3.82
yangzhou_226_115	yangzhou_226_115	1.79
yangzhou_226_116	yangzhou_226_116	2.87
yangzhou_226_117	yangzhou_226_117	4.6
yangzhou_226_118	yangzhou_226_118	2.49
yangzhou_226_119	yangzhou_226_119	2.83
yangzhou_226_1	yangzhou_226_1	3.24
yangzhou_226_120	yangzhou_226_120	2.85
yangzhou_226_121	yangzhou_226_121	2.48
yangzhou_226_12	yangzhou_226_12	2.25
yangzhou_226_122	yangzhou_226_122	4.45
yangzhou_226_123	yangzhou_226_123	NA
yangzhou_226_124	yangzhou_226_124	2.72
yangzhou_226_125	yangzhou_226_125	2.76
yangzhou_226_126	yangzhou_226_126	4.26
yangzhou_226_127	yangzhou_226_127	3.97
yangzhou_226_128	yangzhou_226_128	4.07
yangzhou_226_129	yangzhou_226_129	4.83
yangzhou_226_130	yangzhou_226_130	3.83
yangzhou_226_131	yangzhou_226_131	4.83
yangzhou_226_13	yangzhou_226_13	3.16
yangzhou_226_132	yangzhou_226_132	4.94
yangzhou_226_133	yangzhou_226_133	4.71
yangzhou_226_134	yangzhou_226_134	2.83
yangzhou_226_135	yangzhou_226_135	4.54
yangzhou_226_136	yangzhou_226_136	3.56
yangzhou_226_137	yangzhou_226_137	3.72
yangzhou_226_138	yangzhou_226_138	4.59
yangzhou_226_139	yangzhou_226_139	4.57
yangzhou_226_140	yangzhou_226_140	4.99
yangzhou_226_141	yangzhou_226_141	3.79
yangzhou_226_14	yangzhou_226_14	2.02
yangzhou_226_142	yangzhou_226_142	4.01
yangzhou_226_143	yangzhou_226_143	2.84
yangzhou_226_144	yangzhou_226_144	4.15
yangzhou_226_145	yangzhou_226_145	5.53
yangzhou_226_146	yangzhou_226_146	2.64
yangzhou_226_147	yangzhou_226_147	5.27
yangzhou_226_148	yangzhou_226_148	4.06
yangzhou_226_149	yangzhou_226_149	2.54
yangzhou_226_150	yangzhou_226_150	3.9
yangzhou_226_151	yangzhou_226_151	3.61
yangzhou_226_15	yangzhou_226_15	4.32
yangzhou_226_152	yangzhou_226_152	4.23
yangzhou_226_153	yangzhou_226_153	3.2
yangzhou_226_154	yangzhou_226_154	3.72
yangzhou_226_155	yangzhou_226_155	3.23
yangzhou_226_156	yangzhou_226_156	2.66
yangzhou_226_157	yangzhou_226_157	2.79
yangzhou_226_158	yangzhou_226_158	3.38
yangzhou_226_159	yangzhou_226_159	3.82
yangzhou_226_160	yangzhou_226_160	3.09
yangzhou_226_161	yangzhou_226_161	NA
yangzhou_226_16	yangzhou_226_16	1.91
yangzhou_226_162	yangzhou_226_162	3.09
yangzhou_226_163	yangzhou_226_163	4.52
yangzhou_226_164	yangzhou_226_164	2.51
yangzhou_226_165	yangzhou_226_165	3.14
yangzhou_226_166	yangzhou_226_166	3.72
yangzhou_226_167	yangzhou_226_167	3.83
yangzhou_226_168	yangzhou_226_168	3.7
yangzhou_226_169	yangzhou_226_169	2.78
yangzhou_226_170	yangzhou_226_170	3.69
yangzhou_226_171	yangzhou_226_171	3.87
yangzhou_226_17	yangzhou_226_17	3.56
yangzhou_226_172	yangzhou_226_172	4.38
yangzhou_226_173	yangzhou_226_173	2.73
yangzhou_226_174	yangzhou_226_174	3.18
yangzhou_226_175	yangzhou_226_175	3.99
yangzhou_226_176	yangzhou_226_176	5.02
yangzhou_226_177	yangzhou_226_177	4.05
yangzhou_226_178	yangzhou_226_178	3.44
yangzhou_226_179	yangzhou_226_179	3.28
yangzhou_226_180	yangzhou_226_180	3.7
yangzhou_226_18	yangzhou_226_18	3.34
yangzhou_226_182	yangzhou_226_182	3.71
yangzhou_226_183	yangzhou_226_183	3.59
yangzhou_226_184	yangzhou_226_184	2.59
yangzhou_226_185	yangzhou_226_185	4.09
yangzhou_226_186	yangzhou_226_186	3.68
yangzhou_226_187	yangzhou_226_187	3.81
yangzhou_226_188	yangzhou_226_188	4.01
yangzhou_226_189	yangzhou_226_189	3.49
yangzhou_226_190	yangzhou_226_190	3.19
yangzhou_226_191	yangzhou_226_191	3.32
yangzhou_226_19	yangzhou_226_19	2.75
yangzhou_226_192	yangzhou_226_192	4.12
yangzhou_226_193	yangzhou_226_193	2.36
yangzhou_226_194	yangzhou_226_194	1.55
yangzhou_226_195	yangzhou_226_195	3.2
yangzhou_226_196	yangzhou_226_196	6.03
yangzhou_226_197	yangzhou_226_197	7.23
yangzhou_226_198	yangzhou_226_198	3.99
yangzhou_226_199	yangzhou_226_199	3.66
yangzhou_226_200	yangzhou_226_200	2.03
yangzhou_226_201	yangzhou_226_201	2.25
yangzhou_226_20	yangzhou_226_20	5.19
yangzhou_226_202	yangzhou_226_202	3.95
yangzhou_226_203	yangzhou_226_203	3.96
yangzhou_226_204	yangzhou_226_204	2.3
yangzhou_226_205	yangzhou_226_205	2.89
yangzhou_226_206	yangzhou_226_206	3.19
yangzhou_226_207	yangzhou_226_207	3.01
yangzhou_226_208	yangzhou_226_208	4.03
yangzhou_226_209	yangzhou_226_209	2.11
yangzhou_226_210	yangzhou_226_210	2.17
yangzhou_226_211	yangzhou_226_211	1.78
yangzhou_226_21	yangzhou_226_21	2.87
yangzhou_226_212	yangzhou_226_212	1.49
yangzhou_226_213	yangzhou_226_213	2.46
yangzhou_226_214	yangzhou_226_214	2.48
yangzhou_226_215	yangzhou_226_215	2.1
yangzhou_226_216	yangzhou_226_216	2.08
yangzhou_226_217	yangzhou_226_217	4.39
yangzhou_226_218	yangzhou_226_218	2.3
yangzhou_226_219	yangzhou_226_219	3.04
yangzhou_226_2	yangzhou_226_2	2.98
yangzhou_226_220	yangzhou_226_220	2.45
yangzhou_226_221	yangzhou_226_221	2.51
yangzhou_226_22	yangzhou_226_22	2.74
yangzhou_226_222	yangzhou_226_222	2.22
yangzhou_226_223	yangzhou_226_223	3.62
yangzhou_226_224	yangzhou_226_224	3.92
yangzhou_226_225	yangzhou_226_225	3.06
yangzhou_226_226	yangzhou_226_226	3.0
yangzhou_226_23	yangzhou_226_23	3.66
yangzhou_226_24	yangzhou_226_24	2.61
yangzhou_226_25	yangzhou_226_25	3.85
yangzhou_226_26	yangzhou_226_26	3.31
yangzhou_226_27	yangzhou_226_27	2.16
yangzhou_226_28	yangzhou_226_28	3.3
yangzhou_226_29	yangzhou_226_29	3.73
yangzhou_226_30	yangzhou_226_30	2.28
yangzhou_226_31	yangzhou_226_31	3.08
yangzhou_226_3	yangzhou_226_3	3.28
yangzhou_226_32	yangzhou_226_32	2.24
yangzhou_226_33	yangzhou_226_33	2.93
yangzhou_226_34	yangzhou_226_34	2.84
yangzhou_226_35	yangzhou_226_35	3.09
yangzhou_226_36	yangzhou_226_36	3.65
yangzhou_226_37	yangzhou_226_37	0.41
yangzhou_226_38	yangzhou_226_38	0.25
yangzhou_226_39	yangzhou_226_39	NA
yangzhou_226_40	yangzhou_226_40	3.53
yangzhou_226_41	yangzhou_226_41	0.79
yangzhou_226_4	yangzhou_226_4	2.54
yangzhou_226_42	yangzhou_226_42	0.18
yangzhou_226_43	yangzhou_226_43	2.5
yangzhou_226_44	yangzhou_226_44	NA
yangzhou_226_45	yangzhou_226_45	1.0
yangzhou_226_46	yangzhou_226_46	1.68
yangzhou_226_47	yangzhou_226_47	NA
yangzhou_226_48	yangzhou_226_48	0.2
yangzhou_226_49	yangzhou_226_49	0.19
yangzhou_226_50	yangzhou_226_50	0.14
yangzhou_226_51	yangzhou_226_51	NA
yangzhou_226_5	yangzhou_226_5	2.94
yangzhou_226_53	yangzhou_226_53	NA
yangzhou_226_54	yangzhou_226_54	4.54
yangzhou_226_55	yangzhou_226_55	3.03
yangzhou_226_56	yangzhou_226_56	3.54
yangzhou_226_57	yangzhou_226_57	2.85
yangzhou_226_58	yangzhou_226_58	3.08
yangzhou_226_59	yangzhou_226_59	1.81
yangzhou_226_60	yangzhou_226_60	3.5
yangzhou_226_61	yangzhou_226_61	3.13
yangzhou_226_6	yangzhou_226_6	3.04
yangzhou_226_62	yangzhou_226_62	2.7
yangzhou_226_63	yangzhou_226_63	3.82
yangzhou_226_64	yangzhou_226_64	3.22
yangzhou_226_65	yangzhou_226_65	3.11
yangzhou_226_66	yangzhou_226_66	3.15
yangzhou_226_67	yangzhou_226_67	6.67
yangzhou_226_68	yangzhou_226_68	2.62
yangzhou_226_69	yangzhou_226_69	3.6
yangzhou_226_70	yangzhou_226_70	3.22
yangzhou_226_71	yangzhou_226_71	3.48
yangzhou_226_7	yangzhou_226_7	3.41
yangzhou_226_72	yangzhou_226_72	4.08
yangzhou_226_73	yangzhou_226_73	5.21
yangzhou_226_74	yangzhou_226_74	2.43
yangzhou_226_75	yangzhou_226_75	4.27
yangzhou_226_76	yangzhou_226_76	3.3
yangzhou_226_77	yangzhou_226_77	3.43
yangzhou_226_78	yangzhou_226_78	2.64
yangzhou_226_79	yangzhou_226_79	5.11
yangzhou_226_80	yangzhou_226_80	2.89
yangzhou_226_81	yangzhou_226_81	3.6
yangzhou_226_8	yangzhou_226_8	3.08
yangzhou_226_82	yangzhou_226_82	2.73
yangzhou_226_83	yangzhou_226_83	NA
yangzhou_226_84	yangzhou_226_84	2.49
yangzhou_226_85	yangzhou_226_85	3.07
yangzhou_226_86	yangzhou_226_86	2.92
yangzhou_226_87	yangzhou_226_87	3.79
yangzhou_226_88	yangzhou_226_88	3.44
yangzhou_226_89	yangzhou_226_89	3.14
yangzhou_226_90	yangzhou_226_90	3.32
yangzhou_226_91	yangzhou_226_91	3.63
yangzhou_226_9	yangzhou_226_9	2.29
yangzhou_226_92	yangzhou_226_92	3.44
yangzhou_226_93	yangzhou_226_93	3.75
yangzhou_226_94	yangzhou_226_94	3.66
yangzhou_226_95	yangzhou_226_95	3.03
yangzhou_226_96	yangzhou_226_96	3.93
yangzhou_226_97	yangzhou_226_97	4.36
yangzhou_226_98	yangzhou_226_98	4.39
yangzhou_226_99	yangzhou_226_99	2.55
YCX333	YCX333	NA
YCX334	YCX334	NA
YCX335	YCX335	NA
YCX336	YCX336	NA
YCX337	YCX337	NA
YCX338	YCX338	NA
YCX339	YCX339	NA
YCX340	YCX340	NA
YCX341	YCX341	NA
YCX342	YCX342	NA
YCX343	YCX343	NA
YCX344	YCX344	NA
YCX345	YCX345	NA
YCX346	YCX346	NA
YCX347	YCX347	NA
YCX348	YCX348	NA
YCX349	YCX349	NA
YCX350	YCX350	NA
YCX351	YCX351	NA
YCX352	YCX352	NA
YCX353	YCX353	NA
YCX354	YCX354	NA
YCX355	YCX355	NA
YCX356	YCX356	NA
YCX357	YCX357	NA
YCX358	YCX358	NA
YCX359	YCX359	NA
YCX360	YCX360	NA
YCX361	YCX361	NA
YCX362	YCX362	NA
YCX363	YCX363	NA
YCX364	YCX364	NA
YCX365	YCX365	NA
YCX366	YCX366	NA
YCX367	YCX367	NA
YCX368	YCX368	NA
YCX369	YCX369	NA
YCX370	YCX370	NA
YCX371	YCX371	NA
YCX372	YCX372	NA
YCX373	YCX373	NA
YCX374	YCX374	NA
YCX375	YCX375	NA
YCX376	YCX376	NA
YCX377	YCX377	NA
YCX378	YCX378	NA
YCX379	YCX379	NA
YCX380	YCX380	NA
YCX381	YCX381	NA
YCX382	YCX382	NA
YCX383	YCX383	NA
YCX384	YCX384	NA
YCX385	YCX385	NA
YCX386	YCX386	NA
YCX387	YCX387	NA
YCX388	YCX388	NA
YCX389	YCX389	NA
YCX390	YCX390	NA
YCX391	YCX391	NA
YCX392	YCX392	NA
YCX393	YCX393	NA
YD12	YD12	2.89
