FID	IID	GSR_WenJ15
yangzhou_226_127	yangzhou_226_127	69.4
yangzhou_226_128	yangzhou_226_128	76.6
yangzhou_226_129	yangzhou_226_129	90.9
yangzhou_226_130	yangzhou_226_130	74.9
yangzhou_226_131	yangzhou_226_131	81.4
yangzhou_226_13	yangzhou_226_13	90.2
yangzhou_226_132	yangzhou_226_132	78.1
yangzhou_226_133	yangzhou_226_133	72.0
yangzhou_226_134	yangzhou_226_134	81.1
yangzhou_226_135	yangzhou_226_135	68.2
yangzhou_226_136	yangzhou_226_136	52.5
yangzhou_226_137	yangzhou_226_137	64.6
yangzhou_226_138	yangzhou_226_138	72.8
yangzhou_226_139	yangzhou_226_139	67.7
yangzhou_226_140	yangzhou_226_140	46.5
yangzhou_226_141	yangzhou_226_141	62.9
yangzhou_226_14	yangzhou_226_14	79.5
yangzhou_226_142	yangzhou_226_142	73.2
yangzhou_226_143	yangzhou_226_143	65.8
yangzhou_226_144	yangzhou_226_144	75.2
yangzhou_226_145	yangzhou_226_145	91.5
yangzhou_226_146	yangzhou_226_146	57.5
yangzhou_226_147	yangzhou_226_147	77.6
yangzhou_226_148	yangzhou_226_148	80.6
yangzhou_226_149	yangzhou_226_149	58.8
yangzhou_226_150	yangzhou_226_150	66.5
yangzhou_226_151	yangzhou_226_151	69.6
yangzhou_226_15	yangzhou_226_15	84.2
yangzhou_226_152	yangzhou_226_152	76.9
yangzhou_226_153	yangzhou_226_153	59.9
yangzhou_226_154	yangzhou_226_154	83.4
yangzhou_226_155	yangzhou_226_155	73.8
yangzhou_226_156	yangzhou_226_156	59.4
yangzhou_226_157	yangzhou_226_157	65.3
yangzhou_226_158	yangzhou_226_158	74.8
yangzhou_226_159	yangzhou_226_159	76.0
yangzhou_226_160	yangzhou_226_160	71.1
yangzhou_226_161	yangzhou_226_161	NA
yangzhou_226_16	yangzhou_226_16	75.5
yangzhou_226_162	yangzhou_226_162	72.5
yangzhou_226_163	yangzhou_226_163	64.4
yangzhou_226_164	yangzhou_226_164	91.1
yangzhou_226_165	yangzhou_226_165	75.8
yangzhou_226_166	yangzhou_226_166	67.5
yangzhou_226_167	yangzhou_226_167	54.0
yangzhou_226_168	yangzhou_226_168	71.0
yangzhou_226_169	yangzhou_226_169	58.1
yangzhou_226_170	yangzhou_226_170	86.8
yangzhou_226_171	yangzhou_226_171	83.7
yangzhou_226_17	yangzhou_226_17	82.9
yangzhou_226_172	yangzhou_226_172	82.5
yangzhou_226_173	yangzhou_226_173	86.3
yangzhou_226_174	yangzhou_226_174	83.8
yangzhou_226_175	yangzhou_226_175	81.0
yangzhou_226_176	yangzhou_226_176	77.6
yangzhou_226_177	yangzhou_226_177	80.1
yangzhou_226_178	yangzhou_226_178	90.9
yangzhou_226_179	yangzhou_226_179	84.2
yangzhou_226_180	yangzhou_226_180	95.4
yangzhou_226_18	yangzhou_226_18	84.5
yangzhou_226_182	yangzhou_226_182	96.5
yangzhou_226_183	yangzhou_226_183	82.4
yangzhou_226_184	yangzhou_226_184	82.5
yangzhou_226_185	yangzhou_226_185	75.9
yangzhou_226_186	yangzhou_226_186	66.0
yangzhou_226_187	yangzhou_226_187	83.6
yangzhou_226_188	yangzhou_226_188	90.5
yangzhou_226_189	yangzhou_226_189	72.0
yangzhou_226_190	yangzhou_226_190	72.4
yangzhou_226_191	yangzhou_226_191	71.6
yangzhou_226_19	yangzhou_226_19	84.6
yangzhou_226_192	yangzhou_226_192	75.9
yangzhou_226_193	yangzhou_226_193	54.9
yangzhou_226_194	yangzhou_226_194	26.5
yangzhou_226_195	yangzhou_226_195	72.5
yangzhou_226_196	yangzhou_226_196	68.4
yangzhou_226_197	yangzhou_226_197	89.0
yangzhou_226_198	yangzhou_226_198	76.5
yangzhou_226_199	yangzhou_226_199	73.7
yangzhou_226_200	yangzhou_226_200	80.5
yangzhou_226_201	yangzhou_226_201	55.2
yangzhou_226_20	yangzhou_226_20	86.9
yangzhou_226_202	yangzhou_226_202	89.1
yangzhou_226_203	yangzhou_226_203	89.1
yangzhou_226_204	yangzhou_226_204	72.5
yangzhou_226_205	yangzhou_226_205	82.9
yangzhou_226_206	yangzhou_226_206	85.4
yangzhou_226_207	yangzhou_226_207	78.2
yangzhou_226_208	yangzhou_226_208	70.0
yangzhou_226_209	yangzhou_226_209	80.0
yangzhou_226_210	yangzhou_226_210	77.9
yangzhou_226_211	yangzhou_226_211	40.5
yangzhou_226_21	yangzhou_226_21	86.4
yangzhou_226_212	yangzhou_226_212	51.9
yangzhou_226_213	yangzhou_226_213	49.7
yangzhou_226_214	yangzhou_226_214	69.9
yangzhou_226_215	yangzhou_226_215	72.7
yangzhou_226_216	yangzhou_226_216	61.0
yangzhou_226_217	yangzhou_226_217	85.3
yangzhou_226_218	yangzhou_226_218	81.3
yangzhou_226_219	yangzhou_226_219	80.9
yangzhou_226_2	yangzhou_226_2	87.5
yangzhou_226_220	yangzhou_226_220	70.0
yangzhou_226_221	yangzhou_226_221	56.9
yangzhou_226_22	yangzhou_226_22	80.4
yangzhou_226_222	yangzhou_226_222	56.2
yangzhou_226_223	yangzhou_226_223	78.2
yangzhou_226_224	yangzhou_226_224	81.9
yangzhou_226_225	yangzhou_226_225	66.6
yangzhou_226_226	yangzhou_226_226	82.8
yangzhou_226_23	yangzhou_226_23	84.9
yangzhou_226_24	yangzhou_226_24	82.8
yangzhou_226_25	yangzhou_226_25	83.0
yangzhou_226_26	yangzhou_226_26	89.4
yangzhou_226_27	yangzhou_226_27	56.6
yangzhou_226_28	yangzhou_226_28	62.6
yangzhou_226_29	yangzhou_226_29	90.2
yangzhou_226_30	yangzhou_226_30	81.1
yangzhou_226_31	yangzhou_226_31	63.7
yangzhou_226_3	yangzhou_226_3	81.1
yangzhou_226_32	yangzhou_226_32	79.4
yangzhou_226_33	yangzhou_226_33	83.8
yangzhou_226_34	yangzhou_226_34	73.1
yangzhou_226_35	yangzhou_226_35	86.4
yangzhou_226_36	yangzhou_226_36	90.1
yangzhou_226_37	yangzhou_226_37	14.7
yangzhou_226_38	yangzhou_226_38	9.5
yangzhou_226_39	yangzhou_226_39	NA
yangzhou_226_40	yangzhou_226_40	75.3
yangzhou_226_41	yangzhou_226_41	29.2
yangzhou_226_4	yangzhou_226_4	80.9
yangzhou_226_42	yangzhou_226_42	7.5
yangzhou_226_43	yangzhou_226_43	73.0
yangzhou_226_44	yangzhou_226_44	NA
yangzhou_226_45	yangzhou_226_45	8.0
yangzhou_226_46	yangzhou_226_46	25.6
yangzhou_226_47	yangzhou_226_47	NA
yangzhou_226_48	yangzhou_226_48	6.9
yangzhou_226_49	yangzhou_226_49	6.8
yangzhou_226_50	yangzhou_226_50	4.5
yangzhou_226_51	yangzhou_226_51	NA
yangzhou_226_5	yangzhou_226_5	77.6
yangzhou_226_53	yangzhou_226_53	NA
yangzhou_226_54	yangzhou_226_54	73.7
yangzhou_226_55	yangzhou_226_55	58.3
yangzhou_226_56	yangzhou_226_56	66.1
yangzhou_226_57	yangzhou_226_57	66.4
yangzhou_226_58	yangzhou_226_58	62.0
yangzhou_226_59	yangzhou_226_59	41.4
yangzhou_226_60	yangzhou_226_60	75.8
yangzhou_226_61	yangzhou_226_61	62.5
yangzhou_226_6	yangzhou_226_6	72.1
yangzhou_226_62	yangzhou_226_62	71.6
yangzhou_226_63	yangzhou_226_63	74.6
yangzhou_226_64	yangzhou_226_64	62.7
yangzhou_226_65	yangzhou_226_65	53.7
yangzhou_226_66	yangzhou_226_66	54.3
yangzhou_226_67	yangzhou_226_67	84.3
yangzhou_226_68	yangzhou_226_68	72.3
yangzhou_226_69	yangzhou_226_69	71.9
yangzhou_226_70	yangzhou_226_70	83.0
yangzhou_226_71	yangzhou_226_71	72.6
yangzhou_226_7	yangzhou_226_7	81.1
yangzhou_226_72	yangzhou_226_72	71.1
yangzhou_226_73	yangzhou_226_73	89.3
yangzhou_226_74	yangzhou_226_74	64.5
yangzhou_226_75	yangzhou_226_75	74.0
yangzhou_226_76	yangzhou_226_76	73.6
yangzhou_226_77	yangzhou_226_77	80.7
yangzhou_226_78	yangzhou_226_78	75.5
yangzhou_226_79	yangzhou_226_79	84.1
yangzhou_226_80	yangzhou_226_80	76.8
yangzhou_226_81	yangzhou_226_81	74.6
yangzhou_226_8	yangzhou_226_8	56.1
yangzhou_226_82	yangzhou_226_82	79.5
yangzhou_226_83	yangzhou_226_83	NA
yangzhou_226_84	yangzhou_226_84	47.5
yangzhou_226_85	yangzhou_226_85	51.5
yangzhou_226_86	yangzhou_226_86	83.5
yangzhou_226_87	yangzhou_226_87	60.9
yangzhou_226_88	yangzhou_226_88	66.8
yangzhou_226_89	yangzhou_226_89	95.2
yangzhou_226_90	yangzhou_226_90	50.1
yangzhou_226_91	yangzhou_226_91	59.1
yangzhou_226_9	yangzhou_226_9	71.4
yangzhou_226_92	yangzhou_226_92	76.6
yangzhou_226_93	yangzhou_226_93	66.1
yangzhou_226_94	yangzhou_226_94	67.2
yangzhou_226_95	yangzhou_226_95	47.5
yangzhou_226_96	yangzhou_226_96	66.2
yangzhou_226_97	yangzhou_226_97	54.1
yangzhou_226_98	yangzhou_226_98	86.4
yangzhou_226_99	yangzhou_226_99	73.6
YCX333	YCX333	NA
YCX334	YCX334	NA
YCX335	YCX335	NA
YCX336	YCX336	NA
YCX337	YCX337	NA
YCX338	YCX338	NA
YCX339	YCX339	NA
YCX340	YCX340	NA
YCX341	YCX341	NA
YCX342	YCX342	NA
YCX343	YCX343	NA
YCX344	YCX344	NA
YCX345	YCX345	NA
YCX346	YCX346	NA
YCX347	YCX347	NA
YCX348	YCX348	NA
YCX349	YCX349	NA
YCX350	YCX350	NA
YCX351	YCX351	NA
YCX352	YCX352	NA
YCX353	YCX353	NA
YCX354	YCX354	NA
YCX355	YCX355	NA
YCX356	YCX356	NA
YCX357	YCX357	NA
YCX358	YCX358	NA
YCX359	YCX359	NA
YCX360	YCX360	NA
YCX361	YCX361	NA
YCX362	YCX362	NA
YCX363	YCX363	NA
YCX364	YCX364	NA
YCX365	YCX365	NA
YCX366	YCX366	NA
YCX367	YCX367	NA
YCX368	YCX368	NA
YCX369	YCX369	NA
YCX370	YCX370	NA
YCX371	YCX371	NA
YCX372	YCX372	NA
YCX373	YCX373	NA
YCX374	YCX374	NA
YCX375	YCX375	NA
YCX376	YCX376	NA
YCX377	YCX377	NA
YCX378	YCX378	NA
YCX379	YCX379	NA
YCX380	YCX380	NA
YCX381	YCX381	NA
YCX382	YCX382	NA
YCX383	YCX383	NA
YCX384	YCX384	NA
YCX385	YCX385	NA
YCX386	YCX386	NA
YCX387	YCX387	NA
YCX388	YCX388	NA
YCX389	YCX389	NA
YCX390	YCX390	NA
YCX391	YCX391	NA
YCX392	YCX392	NA
YCX393	YCX393	NA
YD12	YD12	78.2
