FID	IID	FLL_BeiJ16
yangzhou_199_57	yangzhou_199_57	NA
yangzhou_199_58	yangzhou_199_58	26.2
yangzhou_199_59	yangzhou_199_59	NA
yangzhou_199_60	yangzhou_199_60	NA
yangzhou_199_61	yangzhou_199_61	NA
yangzhou_199_6	yangzhou_199_6	NA
yangzhou_199_62	yangzhou_199_62	25.6
yangzhou_199_63	yangzhou_199_63	NA
yangzhou_199_64	yangzhou_199_64	NA
yangzhou_199_65	yangzhou_199_65	NA
yangzhou_199_66	yangzhou_199_66	NA
yangzhou_199_67	yangzhou_199_67	NA
yangzhou_199_68	yangzhou_199_68	NA
yangzhou_199_69	yangzhou_199_69	NA
yangzhou_199_70	yangzhou_199_70	NA
yangzhou_199_71	yangzhou_199_71	NA
yangzhou_199_7	yangzhou_199_7	NA
yangzhou_199_72	yangzhou_199_72	NA
yangzhou_199_73	yangzhou_199_73	25.0
yangzhou_199_74	yangzhou_199_74	NA
yangzhou_199_75	yangzhou_199_75	NA
yangzhou_199_76	yangzhou_199_76	NA
yangzhou_199_77	yangzhou_199_77	NA
yangzhou_199_78	yangzhou_199_78	NA
yangzhou_199_79	yangzhou_199_79	NA
yangzhou_199_80	yangzhou_199_80	30.5
yangzhou_199_81	yangzhou_199_81	26.7
yangzhou_199_8	yangzhou_199_8	24.7
yangzhou_199_82	yangzhou_199_82	26.7
yangzhou_199_83	yangzhou_199_83	27.5
yangzhou_199_84	yangzhou_199_84	NA
yangzhou_199_85	yangzhou_199_85	23.4
yangzhou_199_86	yangzhou_199_86	24.0
yangzhou_199_87	yangzhou_199_87	24.4
yangzhou_199_88	yangzhou_199_88	24.8
yangzhou_199_89	yangzhou_199_89	22.3
yangzhou_199_90	yangzhou_199_90	NA
yangzhou_199_91	yangzhou_199_91	NA
yangzhou_199_9	yangzhou_199_9	26.8
yangzhou_199_92	yangzhou_199_92	NA
yangzhou_199_93	yangzhou_199_93	NA
yangzhou_199_94	yangzhou_199_94	NA
yangzhou_199_95	yangzhou_199_95	NA
yangzhou_199_96	yangzhou_199_96	NA
yangzhou_199_97	yangzhou_199_97	NA
yangzhou_199_98	yangzhou_199_98	NA
yangzhou_199_99	yangzhou_199_99	28.6
yangzhou_226_100	yangzhou_226_100	37.3
yangzhou_226_101	yangzhou_226_101	32.1
yangzhou_226_10	yangzhou_226_10	38.0
yangzhou_226_102	yangzhou_226_102	32.5
yangzhou_226_103	yangzhou_226_103	36.6
yangzhou_226_104	yangzhou_226_104	34.9
yangzhou_226_105	yangzhou_226_105	32.8
yangzhou_226_106	yangzhou_226_106	33.0
yangzhou_226_107	yangzhou_226_107	28.1
yangzhou_226_108	yangzhou_226_108	26.1
yangzhou_226_109	yangzhou_226_109	30.9
yangzhou_226_110	yangzhou_226_110	37.2
yangzhou_226_111	yangzhou_226_111	36.7
yangzhou_226_11	yangzhou_226_11	30.9
yangzhou_226_112	yangzhou_226_112	35.7
yangzhou_226_113	yangzhou_226_113	35.4
yangzhou_226_114	yangzhou_226_114	38.0
yangzhou_226_115	yangzhou_226_115	NA
yangzhou_226_116	yangzhou_226_116	NA
yangzhou_226_117	yangzhou_226_117	37.5
yangzhou_226_118	yangzhou_226_118	30.9
yangzhou_226_119	yangzhou_226_119	45.9
yangzhou_226_1	yangzhou_226_1	28.6
yangzhou_226_120	yangzhou_226_120	37.8
yangzhou_226_121	yangzhou_226_121	36.2
yangzhou_226_12	yangzhou_226_12	34.2
yangzhou_226_122	yangzhou_226_122	37.0
yangzhou_226_123	yangzhou_226_123	NA
yangzhou_226_124	yangzhou_226_124	54.1
yangzhou_226_125	yangzhou_226_125	29.7
yangzhou_226_126	yangzhou_226_126	34.5
yangzhou_226_127	yangzhou_226_127	32.4
yangzhou_226_128	yangzhou_226_128	31.5
yangzhou_226_129	yangzhou_226_129	35.6
yangzhou_226_130	yangzhou_226_130	36.3
yangzhou_226_131	yangzhou_226_131	36.1
yangzhou_226_13	yangzhou_226_13	42.7
yangzhou_226_132	yangzhou_226_132	34.8
yangzhou_226_133	yangzhou_226_133	34.8
yangzhou_226_134	yangzhou_226_134	26.7
yangzhou_226_135	yangzhou_226_135	46.9
yangzhou_226_136	yangzhou_226_136	42.1
yangzhou_226_137	yangzhou_226_137	49.3
yangzhou_226_138	yangzhou_226_138	31.9
yangzhou_226_139	yangzhou_226_139	40.6
yangzhou_226_140	yangzhou_226_140	39.6
yangzhou_226_141	yangzhou_226_141	36.9
yangzhou_226_14	yangzhou_226_14	34.6
yangzhou_226_142	yangzhou_226_142	48.9
yangzhou_226_143	yangzhou_226_143	29.9
yangzhou_226_144	yangzhou_226_144	33.0
yangzhou_226_145	yangzhou_226_145	31.5
yangzhou_226_146	yangzhou_226_146	34.5
yangzhou_226_147	yangzhou_226_147	32.6
yangzhou_226_148	yangzhou_226_148	34.6
yangzhou_226_149	yangzhou_226_149	30.8
yangzhou_226_150	yangzhou_226_150	32.9
yangzhou_226_151	yangzhou_226_151	38.2
yangzhou_226_15	yangzhou_226_15	35.2
yangzhou_226_152	yangzhou_226_152	41.7
yangzhou_226_153	yangzhou_226_153	31.6
yangzhou_226_154	yangzhou_226_154	36.3
yangzhou_226_155	yangzhou_226_155	28.7
yangzhou_226_156	yangzhou_226_156	37.2
yangzhou_226_157	yangzhou_226_157	37.9
yangzhou_226_158	yangzhou_226_158	39.0
yangzhou_226_159	yangzhou_226_159	34.3
yangzhou_226_160	yangzhou_226_160	43.4
yangzhou_226_161	yangzhou_226_161	40.2
yangzhou_226_16	yangzhou_226_16	26.4
yangzhou_226_162	yangzhou_226_162	31.2
yangzhou_226_163	yangzhou_226_163	37.9
yangzhou_226_164	yangzhou_226_164	29.6
yangzhou_226_165	yangzhou_226_165	37.2
yangzhou_226_166	yangzhou_226_166	27.4
yangzhou_226_167	yangzhou_226_167	40.5
yangzhou_226_168	yangzhou_226_168	38.0
yangzhou_226_169	yangzhou_226_169	30.9
yangzhou_226_170	yangzhou_226_170	37.3
yangzhou_226_171	yangzhou_226_171	37.8
yangzhou_226_17	yangzhou_226_17	34.0
yangzhou_226_172	yangzhou_226_172	31.2
yangzhou_226_173	yangzhou_226_173	33.2
yangzhou_226_174	yangzhou_226_174	32.5
yangzhou_226_175	yangzhou_226_175	32.9
yangzhou_226_176	yangzhou_226_176	35.4
yangzhou_226_177	yangzhou_226_177	27.3
yangzhou_226_178	yangzhou_226_178	38.5
yangzhou_226_179	yangzhou_226_179	30.5
yangzhou_226_180	yangzhou_226_180	28.5
yangzhou_226_18	yangzhou_226_18	36.6
yangzhou_226_182	yangzhou_226_182	36.8
yangzhou_226_183	yangzhou_226_183	33.2
yangzhou_226_184	yangzhou_226_184	36.4
yangzhou_226_185	yangzhou_226_185	34.4
yangzhou_226_186	yangzhou_226_186	39.3
yangzhou_226_187	yangzhou_226_187	32.8
yangzhou_226_188	yangzhou_226_188	39.9
yangzhou_226_189	yangzhou_226_189	41.3
yangzhou_226_190	yangzhou_226_190	38.1
yangzhou_226_191	yangzhou_226_191	35.4
yangzhou_226_19	yangzhou_226_19	32.3
yangzhou_226_192	yangzhou_226_192	45.3
yangzhou_226_193	yangzhou_226_193	41.5
yangzhou_226_194	yangzhou_226_194	24.3
yangzhou_226_195	yangzhou_226_195	33.7
yangzhou_226_196	yangzhou_226_196	50.7
yangzhou_226_197	yangzhou_226_197	42.7
yangzhou_226_198	yangzhou_226_198	31.6
yangzhou_226_199	yangzhou_226_199	29.7
yangzhou_226_200	yangzhou_226_200	23.5
yangzhou_226_201	yangzhou_226_201	27.5
yangzhou_226_20	yangzhou_226_20	48.1
yangzhou_226_202	yangzhou_226_202	34.3
yangzhou_226_203	yangzhou_226_203	35.8
yangzhou_226_204	yangzhou_226_204	34.7
yangzhou_226_205	yangzhou_226_205	28.2
yangzhou_226_206	yangzhou_226_206	36.3
yangzhou_226_207	yangzhou_226_207	36.7
yangzhou_226_208	yangzhou_226_208	32.9
yangzhou_226_209	yangzhou_226_209	27.2
yangzhou_226_210	yangzhou_226_210	30.1
yangzhou_226_211	yangzhou_226_211	44.8
yangzhou_226_21	yangzhou_226_21	28.9
yangzhou_226_212	yangzhou_226_212	NA
yangzhou_226_213	yangzhou_226_213	29.0
yangzhou_226_214	yangzhou_226_214	37.8
yangzhou_226_215	yangzhou_226_215	32.7
yangzhou_226_216	yangzhou_226_216	43.6
yangzhou_226_217	yangzhou_226_217	29.9
yangzhou_226_218	yangzhou_226_218	39.9
yangzhou_226_219	yangzhou_226_219	42.1
yangzhou_226_2	yangzhou_226_2	NA
yangzhou_226_220	yangzhou_226_220	37.1
yangzhou_226_221	yangzhou_226_221	42.7
yangzhou_226_22	yangzhou_226_22	28.3
yangzhou_226_222	yangzhou_226_222	31.6
yangzhou_226_223	yangzhou_226_223	35.2
yangzhou_226_224	yangzhou_226_224	29.7
yangzhou_226_225	yangzhou_226_225	35.8
yangzhou_226_226	yangzhou_226_226	27.6
yangzhou_226_23	yangzhou_226_23	24.9
yangzhou_226_24	yangzhou_226_24	38.7
yangzhou_226_25	yangzhou_226_25	35.5
yangzhou_226_26	yangzhou_226_26	33.0
yangzhou_226_27	yangzhou_226_27	29.0
yangzhou_226_28	yangzhou_226_28	39.5
yangzhou_226_29	yangzhou_226_29	33.8
yangzhou_226_30	yangzhou_226_30	27.9
yangzhou_226_31	yangzhou_226_31	33.0
yangzhou_226_3	yangzhou_226_3	36.9
yangzhou_226_32	yangzhou_226_32	31.6
yangzhou_226_33	yangzhou_226_33	32.3
yangzhou_226_34	yangzhou_226_34	39.0
yangzhou_226_35	yangzhou_226_35	29.2
yangzhou_226_36	yangzhou_226_36	29.2
yangzhou_226_37	yangzhou_226_37	37.7
yangzhou_226_38	yangzhou_226_38	30.3
yangzhou_226_39	yangzhou_226_39	38.3
yangzhou_226_40	yangzhou_226_40	35.3
yangzhou_226_41	yangzhou_226_41	38.6
yangzhou_226_4	yangzhou_226_4	30.1
yangzhou_226_42	yangzhou_226_42	40.3
yangzhou_226_43	yangzhou_226_43	NA
yangzhou_226_44	yangzhou_226_44	36.6
yangzhou_226_45	yangzhou_226_45	40.4
yangzhou_226_46	yangzhou_226_46	42.8
yangzhou_226_47	yangzhou_226_47	31.8
yangzhou_226_48	yangzhou_226_48	35.1
yangzhou_226_49	yangzhou_226_49	29.9
yangzhou_226_50	yangzhou_226_50	36.7
yangzhou_226_51	yangzhou_226_51	33.9
yangzhou_226_5	yangzhou_226_5	43.0
yangzhou_226_53	yangzhou_226_53	37.5
yangzhou_226_54	yangzhou_226_54	38.4
yangzhou_226_55	yangzhou_226_55	34.8
yangzhou_226_56	yangzhou_226_56	37.1
yangzhou_226_57	yangzhou_226_57	44.4
yangzhou_226_58	yangzhou_226_58	NA
yangzhou_226_59	yangzhou_226_59	36.8
yangzhou_226_60	yangzhou_226_60	37.5
yangzhou_226_61	yangzhou_226_61	44.2
