FID	IID	FGP_WenJ15
yangzhou_199_186	yangzhou_199_186	140.3
yangzhou_199_187	yangzhou_199_187	88.0
yangzhou_199_188	yangzhou_199_188	56.6
yangzhou_199_189	yangzhou_199_189	104.3
yangzhou_199_190	yangzhou_199_190	84.5
yangzhou_199_191	yangzhou_199_191	121.9
yangzhou_199_19	yangzhou_199_19	140.4
yangzhou_199_192	yangzhou_199_192	99.8
yangzhou_199_193	yangzhou_199_193	67.4
yangzhou_199_194	yangzhou_199_194	108.8
yangzhou_199_195	yangzhou_199_195	104.2
yangzhou_199_196	yangzhou_199_196	146.6
yangzhou_199_197	yangzhou_199_197	106.0
yangzhou_199_198	yangzhou_199_198	107.9
yangzhou_199_199	yangzhou_199_199	103.7
yangzhou_199_20	yangzhou_199_20	122.2
yangzhou_199_21	yangzhou_199_21	139.3
yangzhou_199_2	yangzhou_199_2	135.6
yangzhou_199_22	yangzhou_199_22	157.0
yangzhou_199_23	yangzhou_199_23	NA
yangzhou_199_24	yangzhou_199_24	177.3
yangzhou_199_25	yangzhou_199_25	91.2
yangzhou_199_26	yangzhou_199_26	152.0
yangzhou_199_27	yangzhou_199_27	125.9
yangzhou_199_28	yangzhou_199_28	83.2
yangzhou_199_29	yangzhou_199_29	139.9
yangzhou_199_30	yangzhou_199_30	172.5
yangzhou_199_31	yangzhou_199_31	77.9
yangzhou_199_3	yangzhou_199_3	113.9
yangzhou_199_32	yangzhou_199_32	134.0
yangzhou_199_33	yangzhou_199_33	93.1
yangzhou_199_34	yangzhou_199_34	109.3
yangzhou_199_35	yangzhou_199_35	130.2
yangzhou_199_36	yangzhou_199_36	111.1
yangzhou_199_37	yangzhou_199_37	109.1
yangzhou_199_38	yangzhou_199_38	78.3
yangzhou_199_39	yangzhou_199_39	99.5
yangzhou_199_40	yangzhou_199_40	136.8
yangzhou_199_41	yangzhou_199_41	110.1
yangzhou_199_4	yangzhou_199_4	154.3
yangzhou_199_42	yangzhou_199_42	163.6
yangzhou_199_43	yangzhou_199_43	112.4
yangzhou_199_44	yangzhou_199_44	115.8
yangzhou_199_45	yangzhou_199_45	123.1
yangzhou_199_46	yangzhou_199_46	117.4
yangzhou_199_47	yangzhou_199_47	120.1
yangzhou_199_48	yangzhou_199_48	105.9
yangzhou_199_49	yangzhou_199_49	72.0
yangzhou_199_50	yangzhou_199_50	99.1
yangzhou_199_51	yangzhou_199_51	136.4
yangzhou_199_5	yangzhou_199_5	100.2
yangzhou_199_52	yangzhou_199_52	107.4
yangzhou_199_53	yangzhou_199_53	121.6
yangzhou_199_54	yangzhou_199_54	86.3
yangzhou_199_55	yangzhou_199_55	123.9
yangzhou_199_56	yangzhou_199_56	115.8
yangzhou_199_57	yangzhou_199_57	122.4
yangzhou_199_58	yangzhou_199_58	101.7
yangzhou_199_59	yangzhou_199_59	109.0
yangzhou_199_60	yangzhou_199_60	79.3
yangzhou_199_61	yangzhou_199_61	84.4
yangzhou_199_6	yangzhou_199_6	125.5
yangzhou_199_62	yangzhou_199_62	126.5
yangzhou_199_63	yangzhou_199_63	101.6
yangzhou_199_64	yangzhou_199_64	114.8
yangzhou_199_65	yangzhou_199_65	98.5
yangzhou_199_66	yangzhou_199_66	112.3
yangzhou_199_67	yangzhou_199_67	98.8
yangzhou_199_68	yangzhou_199_68	88.6
yangzhou_199_69	yangzhou_199_69	129.7
yangzhou_199_70	yangzhou_199_70	63.5
yangzhou_199_71	yangzhou_199_71	79.9
yangzhou_199_7	yangzhou_199_7	145.8
yangzhou_199_72	yangzhou_199_72	110.4
yangzhou_199_73	yangzhou_199_73	138.3
yangzhou_199_74	yangzhou_199_74	84.0
yangzhou_199_75	yangzhou_199_75	124.9
yangzhou_199_76	yangzhou_199_76	90.5
yangzhou_199_77	yangzhou_199_77	128.8
yangzhou_199_78	yangzhou_199_78	137.3
yangzhou_199_79	yangzhou_199_79	141.4
yangzhou_199_80	yangzhou_199_80	120.5
yangzhou_199_81	yangzhou_199_81	101.6
yangzhou_199_8	yangzhou_199_8	96.2
yangzhou_199_82	yangzhou_199_82	160.4
yangzhou_199_83	yangzhou_199_83	97.2
yangzhou_199_84	yangzhou_199_84	112.5
yangzhou_199_85	yangzhou_199_85	140.3
yangzhou_199_86	yangzhou_199_86	127.2
yangzhou_199_87	yangzhou_199_87	116.7
yangzhou_199_88	yangzhou_199_88	86.0
yangzhou_199_89	yangzhou_199_89	70.7
yangzhou_199_90	yangzhou_199_90	119.5
yangzhou_199_91	yangzhou_199_91	86.2
yangzhou_199_9	yangzhou_199_9	164.3
yangzhou_199_92	yangzhou_199_92	102.3
yangzhou_199_93	yangzhou_199_93	111.0
yangzhou_199_94	yangzhou_199_94	120.8
yangzhou_199_95	yangzhou_199_95	77.1
yangzhou_199_96	yangzhou_199_96	106.9
yangzhou_199_97	yangzhou_199_97	109.6
yangzhou_199_98	yangzhou_199_98	129.9
yangzhou_199_99	yangzhou_199_99	119.4
yangzhou_226_100	yangzhou_226_100	110.0
yangzhou_226_101	yangzhou_226_101	94.9
yangzhou_226_10	yangzhou_226_10	117.5
yangzhou_226_102	yangzhou_226_102	105.7
yangzhou_226_103	yangzhou_226_103	152.8
yangzhou_226_104	yangzhou_226_104	85.6
yangzhou_226_105	yangzhou_226_105	105.9
yangzhou_226_106	yangzhou_226_106	132.6
yangzhou_226_107	yangzhou_226_107	29.3
yangzhou_226_108	yangzhou_226_108	146.2
yangzhou_226_109	yangzhou_226_109	102.9
yangzhou_226_110	yangzhou_226_110	161.3
yangzhou_226_111	yangzhou_226_111	183.7
yangzhou_226_11	yangzhou_226_11	142.3
yangzhou_226_112	yangzhou_226_112	95.1
yangzhou_226_113	yangzhou_226_113	137.3
yangzhou_226_114	yangzhou_226_114	135.3
yangzhou_226_115	yangzhou_226_115	56.9
yangzhou_226_116	yangzhou_226_116	109.4
yangzhou_226_117	yangzhou_226_117	153.5
yangzhou_226_118	yangzhou_226_118	90.3
yangzhou_226_119	yangzhou_226_119	109.4
yangzhou_226_1	yangzhou_226_1	116.6
yangzhou_226_120	yangzhou_226_120	97.5
yangzhou_226_121	yangzhou_226_121	81.9
yangzhou_226_12	yangzhou_226_12	97.3
yangzhou_226_122	yangzhou_226_122	145.9
yangzhou_226_123	yangzhou_226_123	NA
