FID	IID	PH_BLUP
yangzhou_199_112	yangzhou_199_112	85.0050560858763
yangzhou_199_113	yangzhou_199_113	82.6429536242592
yangzhou_199_114	yangzhou_199_114	78.4723664654665
yangzhou_199_115	yangzhou_199_115	80.373120790049
yangzhou_199_116	yangzhou_199_116	79.803281260456
yangzhou_199_117	yangzhou_199_117	76.0364483019239
yangzhou_199_118	yangzhou_199_118	81.8678887540411
yangzhou_199_119	yangzhou_199_119	79.6903255472378
yangzhou_199_1	yangzhou_199_1	82.3292368910757
yangzhou_199_120	yangzhou_199_120	79.5796019943495
yangzhou_199_121	yangzhou_199_121	78.6015439438362
yangzhou_199_12	yangzhou_199_12	84.4514383214348
yangzhou_199_122	yangzhou_199_122	85.521765999355
yangzhou_199_123	yangzhou_199_123	84.6175236507672
yangzhou_199_124	yangzhou_199_124	77.8449329990995
yangzhou_199_125	yangzhou_199_125	81.1297317347857
yangzhou_199_126	yangzhou_199_126	85.6324895522433
yangzhou_199_127	yangzhou_199_127	86.259422477211
yangzhou_199_128	yangzhou_199_128	77.1805916817697
yangzhou_199_129	yangzhou_199_129	84.7467011291369
yangzhou_199_130	yangzhou_199_130	89.3601824994828
yangzhou_199_131	yangzhou_199_131	84.8389707565438
yangzhou_199_13	yangzhou_199_13	83.8153760117561
yangzhou_199_132	yangzhou_199_132	87.4778821003817
yangzhou_199_133	yangzhou_199_133	82.679861475222
yangzhou_199_134	yangzhou_199_134	84.2853529921023
yangzhou_199_135	yangzhou_199_135	83.307294941589
yangzhou_199_136	yangzhou_199_136	81.7571652011528
yangzhou_199_137	yangzhou_199_137	90.5965955067355
yangzhou_199_138	yangzhou_199_138	90.1721552206636
yangzhou_199_139	yangzhou_199_139	88.2344930451184
yangzhou_199_140	yangzhou_199_140	106.79914207939
yangzhou_199_141	yangzhou_199_141	93.2539607760547
yangzhou_199_14	yangzhou_199_14	84.3591686940278
yangzhou_199_142	yangzhou_199_142	95.9297799708553
yangzhou_199_143	yangzhou_199_143	96.7602066175175
yangzhou_199_144	yangzhou_199_144	93.7891246150148
yangzhou_199_145	yangzhou_199_145	83.307294941589
yangzhou_199_146	yangzhou_199_146	83.8609127060305
yangzhou_199_147	yangzhou_199_147	99.380664035874
yangzhou_199_148	yangzhou_199_148	97.4430018603287
yangzhou_199_149	yangzhou_199_149	88.9911039898551
yangzhou_199_150	yangzhou_199_150	110.489927175667
yangzhou_199_151	yangzhou_199_151	96.6679369901106
yangzhou_199_15	yangzhou_199_15	84.4883461723975
yangzhou_199_152	yangzhou_199_152	97.6090871896611
yangzhou_199_153	yangzhou_199_153	110.39765754826
yangzhou_199_154	yangzhou_199_154	102.36367632202
yangzhou_199_155	yangzhou_199_155	98.6794148675814
yangzhou_199_156	yangzhou_199_156	82.2455531017482
yangzhou_199_157	yangzhou_199_157	86.3706465714987
yangzhou_199_158	yangzhou_199_158	110.286933995372
yangzhou_199_159	yangzhou_199_159	110.434565399223
yangzhou_199_160	yangzhou_199_160	71.9212229195754
yangzhou_199_161	yangzhou_199_161	75.8888168980728
yangzhou_199_16	yangzhou_199_16	94.4165580813818
yangzhou_199_162	yangzhou_199_162	95.9297799708553
yangzhou_199_163	yangzhou_199_163	91.537745706286
yangzhou_199_164	yangzhou_199_164	82.7167693261847
yangzhou_199_165	yangzhou_199_165	65.2962636717588
yangzhou_199_166	yangzhou_199_166	67.3446494001923
yangzhou_199_167	yangzhou_199_167	75.6489158668149
yangzhou_199_168	yangzhou_199_168	91.7222849610998
yangzhou_199_169	yangzhou_199_169	97.0923772761824
yangzhou_199_170	yangzhou_199_170	97.6644489661053
yangzhou_199_171	yangzhou_199_171	93.2355068505733
yangzhou_199_17	yangzhou_199_17	99.0115855262463
yangzhou_199_172	yangzhou_199_172	99.8420121729086
yangzhou_199_173	yangzhou_199_173	89.32327464852
yangzhou_199_174	yangzhou_199_174	90.8734043889562
yangzhou_199_175	yangzhou_199_175	97.5906332641798
yangzhou_199_176	yangzhou_199_176	80.2439433116793
yangzhou_199_177	yangzhou_199_177	99.380664035874
yangzhou_199_178	yangzhou_199_178	105.341281966361
yangzhou_199_179	yangzhou_199_179	96.0958653001877
yangzhou_199_180	yangzhou_199_180	94.8963601438978
yangzhou_199_181	yangzhou_199_181	98.900861973358
yangzhou_199_18	yangzhou_199_18	88.1791312686742
yangzhou_199_182	yangzhou_199_182	102.25947641097
yangzhou_199_183	yangzhou_199_183	95.8928721198925
yangzhou_199_184	yangzhou_199_184	84.414530470472
yangzhou_199_185	yangzhou_199_185	88.1422234177115
yangzhou_199_186	yangzhou_199_186	84.8389707565438
yangzhou_199_187	yangzhou_199_187	97.5906332641798
yangzhou_199_188	yangzhou_199_188	99.3068483339484
yangzhou_199_189	yangzhou_199_189	89.6000835307407
yangzhou_199_190	yangzhou_199_190	87.5516978023072
yangzhou_199_191	yangzhou_199_191	87.976138088379
yangzhou_199_19	yangzhou_199_19	96.446489884334
