FID	IID	HD_BLUP
yangzhou_199_6	yangzhou_199_6	89.8229208207134
yangzhou_199_62	yangzhou_199_62	91.3104379710013
yangzhou_199_63	yangzhou_199_63	101.805697864699
yangzhou_199_64	yangzhou_199_64	101.309858814603
yangzhou_199_65	yangzhou_199_65	98.0869049889796
yangzhou_199_66	yangzhou_199_66	97.4257862555183
yangzhou_199_67	yangzhou_199_67	93.5417136964332
yangzhou_199_68	yangzhou_199_68	100.566100239459
yangzhou_199_69	yangzhou_199_69	98.2521846723449
yangzhou_199_70	yangzhou_199_70	100.89665960619
yangzhou_199_71	yangzhou_199_71	93.9549129048465
yangzhou_199_7	yangzhou_199_7	92.4673957545586
yangzhou_199_72	yangzhou_199_72	94.4507519549425
yangzhou_199_73	yangzhou_199_73	90.9798786042707
yangzhou_199_74	yangzhou_199_74	98.5827440390756
yangzhou_199_75	yangzhou_199_75	97.8389854639316
yangzhou_199_76	yangzhou_199_76	102.962655648257
yangzhou_199_77	yangzhou_199_77	98.5001041973929
yangzhou_199_78	yangzhou_199_78	101.475138497969
yangzhou_199_79	yangzhou_199_79	97.9216253056143
yangzhou_199_80	yangzhou_199_80	93.9549129048465
yangzhou_199_81	yangzhou_199_81	94.4507519549425
yangzhou_199_8	yangzhou_199_8	86.7652466784549
yangzhou_199_82	yangzhou_199_82	87.5090052535989
yangzhou_199_83	yangzhou_199_83	90.1534801874441
yangzhou_199_84	yangzhou_199_84	100.400820556094
yangzhou_199_85	yangzhou_199_85	86.021488103311
yangzhou_199_86	yangzhou_199_86	86.5999669950896
yangzhou_199_87	yangzhou_199_87	93.3764340130679
yangzhou_199_88	yangzhou_199_88	93.4590738547506
yangzhou_199_89	yangzhou_199_89	97.6737057805663
yangzhou_199_90	yangzhou_199_90	86.9305263618203
yangzhou_199_91	yangzhou_199_91	100.979299447873
yangzhou_199_9	yangzhou_199_9	86.517327153407
yangzhou_199_92	yangzhou_199_92	95.2771503717691
yangzhou_199_93	yangzhou_199_93	95.1945105300864
yangzhou_199_94	yangzhou_199_94	103.210575173305
yangzhou_199_95	yangzhou_199_95	99.4091424559022
yangzhou_199_96	yangzhou_199_96	97.0952268887877
yangzhou_199_97	yangzhou_199_97	92.3021160711933
yangzhou_199_98	yangzhou_199_98	94.4507519549425
yangzhou_199_99	yangzhou_199_99	88.2527638287429
yangzhou_226_100	yangzhou_226_100	107.755766465851
yangzhou_226_101	yangzhou_226_101	106.020329790515
yangzhou_226_10	yangzhou_226_10	77.3443047266315
yangzhou_226_102	yangzhou_226_102	101.392498656286
yangzhou_226_103	yangzhou_226_103	104.119613431814
yangzhou_226_104	yangzhou_226_104	101.309858814603
yangzhou_226_105	yangzhou_226_105	99.7397018226328
yangzhou_226_106	yangzhou_226_106	102.714736123209
yangzhou_226_107	yangzhou_226_107	102.714736123209
yangzhou_226_108	yangzhou_226_108	96.764667522057
yangzhou_226_109	yangzhou_226_109	103.458494698353
yangzhou_226_110	yangzhou_226_110	101.557778339651
yangzhou_226_111	yangzhou_226_111	100.235540872729
yangzhou_226_11	yangzhou_226_11	79.2450210853328
yangzhou_226_112	yangzhou_226_112	99.1612229308542
yangzhou_226_113	yangzhou_226_113	95.7729894218651
yangzhou_226_114	yangzhou_226_114	102.13625723143
yangzhou_226_115	yangzhou_226_115	103.127935331622
yangzhou_226_116	yangzhou_226_116	108.086325832582
yangzhou_226_117	yangzhou_226_117	98.9133034058062
yangzhou_226_118	yangzhou_226_118	101.723058023017
yangzhou_226_119	yangzhou_226_119	104.698092323593
yangzhou_226_1	yangzhou_226_1	77.0137453599009
yangzhou_226_120	yangzhou_226_120	104.863372006958
yangzhou_226_121	yangzhou_226_121	103.623774381718
yangzhou_226_12	yangzhou_226_12	77.9227836184102
yangzhou_226_122	yangzhou_226_122	104.450172798545
yangzhou_226_123	yangzhou_226_123	108.830084407726
yangzhou_226_124	yangzhou_226_124	99.8223416643155
yangzhou_226_125	yangzhou_226_125	91.4757176543667
yangzhou_226_126	yangzhou_226_126	104.036973590131
yangzhou_226_127	yangzhou_226_127	102.880015806574
