FID	IID	SPAD_BeiJ16
yangzhou_226_105	yangzhou_226_105	39.8
yangzhou_226_106	yangzhou_226_106	36.1
yangzhou_226_107	yangzhou_226_107	33.2
yangzhou_226_108	yangzhou_226_108	40.6
yangzhou_226_109	yangzhou_226_109	39.3
yangzhou_226_110	yangzhou_226_110	36.2
yangzhou_226_111	yangzhou_226_111	36.9
yangzhou_226_11	yangzhou_226_11	39.2
yangzhou_226_112	yangzhou_226_112	35.9
yangzhou_226_113	yangzhou_226_113	40.5
yangzhou_226_114	yangzhou_226_114	35.7
yangzhou_226_115	yangzhou_226_115	NA
yangzhou_226_116	yangzhou_226_116	NA
yangzhou_226_117	yangzhou_226_117	35.0
yangzhou_226_118	yangzhou_226_118	32.9
yangzhou_226_119	yangzhou_226_119	32.9
yangzhou_226_1	yangzhou_226_1	NA
yangzhou_226_120	yangzhou_226_120	35.2
yangzhou_226_121	yangzhou_226_121	36.7
yangzhou_226_12	yangzhou_226_12	NA
yangzhou_226_122	yangzhou_226_122	32.9
yangzhou_226_123	yangzhou_226_123	NA
yangzhou_226_124	yangzhou_226_124	31.0
yangzhou_226_125	yangzhou_226_125	40.4
yangzhou_226_126	yangzhou_226_126	38.0
yangzhou_226_127	yangzhou_226_127	36.9
yangzhou_226_128	yangzhou_226_128	37.6
yangzhou_226_129	yangzhou_226_129	38.8
yangzhou_226_130	yangzhou_226_130	36.5
yangzhou_226_131	yangzhou_226_131	35.3
yangzhou_226_13	yangzhou_226_13	NA
yangzhou_226_132	yangzhou_226_132	35.3
yangzhou_226_133	yangzhou_226_133	34.4
yangzhou_226_134	yangzhou_226_134	37.3
yangzhou_226_135	yangzhou_226_135	38.8
yangzhou_226_136	yangzhou_226_136	33.8
yangzhou_226_137	yangzhou_226_137	36.2
yangzhou_226_138	yangzhou_226_138	40.5
yangzhou_226_139	yangzhou_226_139	32.0
yangzhou_226_140	yangzhou_226_140	37.0
yangzhou_226_141	yangzhou_226_141	35.9
yangzhou_226_14	yangzhou_226_14	NA
yangzhou_226_142	yangzhou_226_142	37.5
yangzhou_226_143	yangzhou_226_143	36.1
yangzhou_226_144	yangzhou_226_144	35.7
yangzhou_226_145	yangzhou_226_145	40.0
yangzhou_226_146	yangzhou_226_146	35.7
yangzhou_226_147	yangzhou_226_147	39.2
yangzhou_226_148	yangzhou_226_148	37.0
yangzhou_226_149	yangzhou_226_149	40.3
yangzhou_226_150	yangzhou_226_150	42.3
yangzhou_226_151	yangzhou_226_151	32.4
yangzhou_226_15	yangzhou_226_15	NA
yangzhou_226_152	yangzhou_226_152	44.8
yangzhou_226_153	yangzhou_226_153	37.8
yangzhou_226_154	yangzhou_226_154	37.3
yangzhou_226_155	yangzhou_226_155	38.0
yangzhou_226_156	yangzhou_226_156	34.5
yangzhou_226_157	yangzhou_226_157	37.2
yangzhou_226_158	yangzhou_226_158	36.9
yangzhou_226_159	yangzhou_226_159	41.5
yangzhou_226_160	yangzhou_226_160	37.9
