FID	IID	FLW_BeiJ16
yangzhou_199_34	yangzhou_199_34	NA
yangzhou_199_35	yangzhou_199_35	NA
yangzhou_199_36	yangzhou_199_36	NA
yangzhou_199_37	yangzhou_199_37	NA
yangzhou_199_38	yangzhou_199_38	1.4
yangzhou_199_39	yangzhou_199_39	1.4
yangzhou_199_40	yangzhou_199_40	NA
yangzhou_199_41	yangzhou_199_41	NA
yangzhou_199_4	yangzhou_199_4	1.6
yangzhou_199_42	yangzhou_199_42	1.4
yangzhou_199_43	yangzhou_199_43	1.5
yangzhou_199_44	yangzhou_199_44	NA
yangzhou_199_45	yangzhou_199_45	NA
yangzhou_199_46	yangzhou_199_46	NA
yangzhou_199_47	yangzhou_199_47	NA
yangzhou_199_48	yangzhou_199_48	NA
yangzhou_199_49	yangzhou_199_49	NA
yangzhou_199_50	yangzhou_199_50	NA
yangzhou_199_51	yangzhou_199_51	1.7
yangzhou_199_5	yangzhou_199_5	1.7
yangzhou_199_52	yangzhou_199_52	NA
yangzhou_199_53	yangzhou_199_53	NA
yangzhou_199_54	yangzhou_199_54	NA
yangzhou_199_55	yangzhou_199_55	NA
yangzhou_199_56	yangzhou_199_56	NA
yangzhou_199_57	yangzhou_199_57	NA
yangzhou_199_58	yangzhou_199_58	1.7
yangzhou_199_59	yangzhou_199_59	NA
yangzhou_199_60	yangzhou_199_60	NA
yangzhou_199_61	yangzhou_199_61	NA
yangzhou_199_6	yangzhou_199_6	NA
yangzhou_199_62	yangzhou_199_62	1.6
yangzhou_199_63	yangzhou_199_63	NA
yangzhou_199_64	yangzhou_199_64	NA
yangzhou_199_65	yangzhou_199_65	NA
yangzhou_199_66	yangzhou_199_66	NA
yangzhou_199_67	yangzhou_199_67	NA
yangzhou_199_68	yangzhou_199_68	NA
yangzhou_199_69	yangzhou_199_69	NA
yangzhou_199_70	yangzhou_199_70	NA
yangzhou_199_71	yangzhou_199_71	NA
yangzhou_199_7	yangzhou_199_7	NA
yangzhou_199_72	yangzhou_199_72	NA
yangzhou_199_73	yangzhou_199_73	1.5
yangzhou_199_74	yangzhou_199_74	NA
yangzhou_199_75	yangzhou_199_75	NA
yangzhou_199_76	yangzhou_199_76	NA
yangzhou_199_77	yangzhou_199_77	NA
yangzhou_199_78	yangzhou_199_78	NA
yangzhou_199_79	yangzhou_199_79	NA
yangzhou_199_80	yangzhou_199_80	1.6
yangzhou_199_81	yangzhou_199_81	1.7
yangzhou_199_8	yangzhou_199_8	1.7
yangzhou_199_82	yangzhou_199_82	1.7
yangzhou_199_83	yangzhou_199_83	1.3
yangzhou_199_84	yangzhou_199_84	NA
yangzhou_199_85	yangzhou_199_85	1.6
