FID	IID	GYP_BLUP
Y10	Y10	21.5583217985317
Y104	Y104	21.6670570150064
Y105	Y105	20.260960950224
Y106	Y106	24.9690173607143
Y107	Y107	22.0574816691777
Y108	Y108	19.4604858957029
Y109	Y109	20.6577873621954
Y110	Y110	20.834252076374
Y11	Y11	20.6248132477336
Y114	Y114	21.0670043684338
Y1	Y1	18.9101592957196
Y121	Y121	20.1085978006419
Y12	Y12	24.153043495147
Y123	Y123	19.6628787361926
Y125	Y125	21.8341847015302
Y131	Y131	23.9006209637497
Y13	Y13	22.9989494889837
Y14	Y14	20.9022506245847
Y15	Y15	23.4560389377302
Y17	Y17	21.1160138493716
Y18	Y18	18.8976518729928
Y19	Y19	19.8152418857748
Y20	Y20	18.9112963341494
Y210	Y210	26.39304774489
Y21	Y21	18.8419369899366
Y219	Y219	25.5516007636995
Y2	Y2	20.7987801274804
Y220	Y220	23.6181128611313
Y22	Y22	18.2051954692948
Y229	Y229	20.0790348014692
Y23	Y23	22.5782726500185
Y24	Y24	19.7443238944832
Y243	Y243	20.4292426378222
Y244	Y244	19.1091410209202
Y245	Y245	20.872687625412
Y246	Y246	20.3758018316255
Y247	Y247	22.2985338162778
Y248	Y248	21.9939484770174
Y249	Y249	21.1036087593436
Y250	Y250	23.0023159382445
Y251	Y251	24.3611215277853
Y25	Y25	22.1946824834702
Y252	Y252	21.1853740431189
Y253	Y253	19.7367862341243
Y254	Y254	21.8175665605073
Y255	Y255	23.7977202969733
Y256	Y256	22.9807568741082
Y257	Y257	22.1632926308113
Y3	Y3	18.7657554151455
Y4	Y4	21.9938075171135
Y42	Y42	21.4002734568009
Y5	Y5	19.1875966725707
Y6	Y6	18.7896332221696
Y7	Y7	19.5571341622289
Y8	Y8	21.1091916187933
Y86	Y86	19.4104562047953
Y87	Y87	21.058024889456
Y88	Y88	21.5242106456401
Y90	Y90	22.5513315346422
Y91	Y91	19.0113557159645
Y9	Y9	20.8965654324361
Y92	Y92	22.0699890919045
Y94	Y94	20.4917797514567
Y95	Y95	26.1519570545903
Y96	Y96	23.3662129017825
Y97	Y97	21.319543728291
Y99	Y99	22.8363529935341
yangzhou_199_100	yangzhou_199_100	25.7062379901411
yangzhou_199_101	yangzhou_199_101	27.3333399830668
yangzhou_199_10	yangzhou_199_10	25.1775151203224
yangzhou_199_102	yangzhou_199_102	26.4566833537546
yangzhou_199_103	yangzhou_199_103	25.7755973343538
yangzhou_199_104	yangzhou_199_104	23.9881729228379
yangzhou_199_105	yangzhou_199_105	28.4283079908847
yangzhou_199_106	yangzhou_199_106	28.0701408855237
yangzhou_199_107	yangzhou_199_107	25.2366411186677
yangzhou_199_108	yangzhou_199_108	25.2468744645352
yangzhou_199_109	yangzhou_199_109	26.5499205049914
yangzhou_199_110	yangzhou_199_110	23.4264759385575
yangzhou_199_111	yangzhou_199_111	24.9887667409893
yangzhou_199_11	yangzhou_199_11	26.5726612735858
yangzhou_199_112	yangzhou_199_112	26.6295131950717
yangzhou_199_113	yangzhou_199_113	25.0513038546238
yangzhou_199_114	yangzhou_199_114	22.587341577426
yangzhou_199_115	yangzhou_199_115	24.6590255963713
yangzhou_199_116	yangzhou_199_116	23.5640575885533
yangzhou_199_117	yangzhou_199_117	25.6198230694825
yangzhou_199_118	yangzhou_199_118	24.2371843389461
yangzhou_199_119	yangzhou_199_119	24.3372437207612
yangzhou_199_1	yangzhou_199_1	25.4401709975872
yangzhou_199_120	yangzhou_199_120	25.8347233326991
yangzhou_199_121	yangzhou_199_121	25.010370471154
yangzhou_199_12	yangzhou_199_12	22.6339601530444
yangzhou_199_122	yangzhou_199_122	28.0041926566001
yangzhou_199_123	yangzhou_199_123	26.2042608223573
yangzhou_199_124	yangzhou_199_124	25.0842779690856
yangzhou_199_125	yangzhou_199_125	24.6635737500901
yangzhou_199_126	yangzhou_199_126	25.6721268372495
yangzhou_199_127	yangzhou_199_127	27.3789228280235
yangzhou_199_128	yangzhou_199_128	25.1058816992502
yangzhou_199_129	yangzhou_199_129	25.384456114531
yangzhou_199_130	yangzhou_199_130	23.9836247691191
yangzhou_199_131	yangzhou_199_131	22.8613678389879
yangzhou_199_13	yangzhou_199_13	26.0819005591932
yangzhou_199_132	yangzhou_199_132	25.2082151579248
yangzhou_199_133	yangzhou_199_133	25.8381344479883
yangzhou_199_134	yangzhou_199_134	26.0314309810403
yangzhou_199_135	yangzhou_199_135	20.7874097431832
yangzhou_199_136	yangzhou_199_136	21.3763956497769
yangzhou_199_137	yangzhou_199_137	22.9671124129516
yangzhou_199_138	yangzhou_199_138	23.0910496017908
yangzhou_199_139	yangzhou_199_139	23.2854831732725
yangzhou_199_140	yangzhou_199_140	27.9734926189977
